0 1:2155.159402 2:66.812704 3:45.645592 4:9.459274 5:7.187980 6:-20.518949 7:-16.356914 8:-19.655346 9:-13.350024 10:-12.123854 11:-7.145188 12:-10.821502 13:-11.806896 14:-4.648018 15:-2.257381 16:1.670387 17:5.080432 18:3.145782 19:8.838604 20:9.277221 21:14.497082 22:13.884585 23:7.139236 24:5.337238 25:3.035069 26:3.018248 27:8.462475 28:3.208343 29:8.333198 30:2.491824 31:2.162717 32:-1.365105 33:3.582476 34:4.441262 35:5.555171 36:4.690090 37:7.353922 38:3.393022 39:0.685447 40:-0.680096 
57 1:2184.791044 2:70.536486 3:-23.410701 4:-0.562989 5:-22.112173 6:-11.964640 7:-18.054136 8:-26.964932 9:-28.170247 10:-11.598717 11:-14.277365 12:-18.093988 13:-4.726764 14:-6.737889 15:-11.871303 16:-12.181956 17:-13.484464 18:-2.440840 19:-2.092952 20:1.989197 21:4.438407 22:6.930043 23:11.792872 24:14.069387 25:6.670646 26:-0.912018 27:-0.991798 28:3.299778 29:0.046130 30:-1.734823 31:0.237102 32:-2.000691 33:-1.704771 34:-0.951178 35:2.069589 36:4.772587 37:5.930152 38:4.275651 39:1.393796 40:-2.010263 
40 1:2186.480698 2:23.038072 3:33.661494 4:-16.262151 5:-43.372821 6:8.454915 7:-7.583324 8:0.758661 9:4.978830 10:-14.482902 11:-14.063425 12:-11.655189 13:-12.245144 14:0.196951 15:-2.126070 16:-2.601257 17:-1.700695 18:-6.958475 19:2.515406 20:5.085941 21:14.846815 22:18.641658 23:16.778099 24:15.330610 25:8.233930 26:0.692610 27:-7.268056 28:-11.780440 29:-7.217112 30:-0.765122 31:4.347298 32:2.209097 33:-3.133868 34:-5.704022 35:-0.740207 36:3.435717 37:4.980034 38:2.238806 39:-0.370929 40:-1.338558 
57 1:2196.758928 2:71.433375 3:-14.653860 4:2.454032 5:-15.024674 6:-8.570617 7:-11.212966 8:-22.534002 9:-20.949755 10:-7.518592 11:-9.108343 12:-13.717145 13:-0.605821 14:-3.221643 15:-7.096256 16:-8.466612 17:-8.302808 18:1.604750 19:2.519633 20:6.062273 21:7.127485 22:9.747618 23:14.071294 24:16.927105 25:9.175334 26:1.980469 27:1.766109 28:5.759751 29:1.872857 30:0.017590 31:2.123299 32:-1.145846 33:0.077433 34:0.658118 35:3.750678 36:5.512717 37:6.325812 38:4.742244 39:1.053219 40:-2.079856 
53 1:2186.068763 2:33.713779 3:26.360426 4:-27.068697 5:-34.108469 6:-2.617338 7:-12.755855 8:4.441065 9:-4.303978 10:-23.140181 11:-17.851778 12:-17.926590 13:-7.107928 14:3.689516 15:-4.366510 16:-1.938002 17:1.632770 18:7.029023 19:16.313407 20:17.996219 21:22.087060 22:11.647906 23:0.671276 24:-7.543356 25:-12.516958 26:-3.258798 27:6.523921 28:7.221214 29:3.063410 30:-4.946826 31:-4.994798 32:0.404830 33:5.991599 34:0.550799 35:-3.364306 36:-1.820879 37:3.603014 38:-0.748973 39:-0.129825 40:1.676103 
48 1:2237.233736 2:55.902896 3:56.881165 4:-2.565458 5:-7.183893 6:-24.468105 7:-22.817508 8:-16.158072 9:-16.438361 10:-5.207263 11:-6.096601 12:-8.629276 13:-4.944755 14:-3.395780 15:-1.322133 16:-5.468858 17:0.867030 18:6.646010 19:7.524665 20:8.888517 21:8.176869 22:7.636240 23:4.819728 24:-0.034207 25:7.095139 26:6.962598 27:12.006554 28:10.031929 29:3.794995 30:-2.775985 31:-2.865597 32:-0.993683 33:2.185480 34:3.907581 35:4.562471 36:5.854722 37:6.995932 38:0.727908 39:-2.750272 40:-4.010703 
0 1:2153.063794 2:66.883459 3:49.020939 4:10.508758 5:3.083100 6:-16.806373 7:-16.116326 8:-18.438237 9:-15.610008 10:-8.951924 11:-11.353132 12:-8.301070 13:-7.176040 14:-9.210663 15:-4.183735 16:4.438228 17:2.635581 18:4.478457 19:6.757516 20:10.960304 21:12.559059 22:12.507275 23:5.581562 24:5.475655 25:3.933635 26:-0.044700 27:4.381587 28:7.350035 29:5.136575 30:0.100660 31:3.626628 32:-3.250631 33:3.587808 34:1.235561 35:5.964338 36:6.671006 37:4.990286 38:2.956192 39:-0.930430 40:0.813879 
33 1:2306.177352 2:32.423543 3:40.784756 4:10.055872 5:3.326701 6:-14.585064 7:-12.534637 8:-16.115424 9:-14.533563 10:-9.608579 11:-15.210456 12:-9.649276 13:-2.400961 14:2.321600 15:5.480874 16:6.215860 17:4.599530 18:0.424811 19:-1.625406 20:1.047536 21:2.082096 22:1.324983 23:1.072911 24:2.490263 25:7.997120 26:7.825977 27:4.208587 28:4.477662 29:4.245021 30:0.706001 31:-0.630851 32:-1.644715 33:4.457415 34:1.472006 35:1.255617 36:-0.602016 37:-2.915990 38:-2.951999 39:-2.794846 40:-2.545377 
21 1:2183.193467 2:50.259827 3:71.350984 4:-4.895235 5:-15.791916 6:-22.079179 7:-34.402733 8:-18.568839 9:-20.057091 10:-11.608534 11:-9.045787 12:-10.401247 13:-7.857447 14:-16.104574 15:-14.676356 16:0.606997 17:-3.731524 18:0.328647 19:5.798842 20:5.019914 21:12.452901 22:13.117553 23:5.410020 24:3.143131 25:3.737046 26:1.145452 27:8.016134 28:6.754258 29:4.272619 30:-2.396733 31:-2.648484 32:-5.313510 33:3.109303 34:2.383625 35:2.421331 36:4.014890 37:6.596916 38:0.521773 39:4.107201 40:3.327744 
9 1:2224.981933 2:7.748159 3:-12.762831 4:7.062557 5:29.093730 6:-4.674512 7:-4.972411 8:-15.367590 9:-15.242441 10:2.979082 11:-3.815146 12:-14.142615 13:-0.370721 14:1.422334 15:-9.686828 16:-7.041428 17:-3.940482 18:0.214075 19:-0.770319 20:3.118272 21:0.289381 22:8.329907 23:9.148511 24:8.309601 25:8.689522 26:5.633424 27:3.369666 28:-0.820084 29:0.240329 30:-3.424846 31:0.017176 32:-0.871051 33:1.789430 34:-2.057275 35:3.809328 36:3.262025 37:0.979415 38:0.121684 39:2.807310 40:0.039362 
5 1:2210.468705 2:44.951570 3:36.425569 4:8.551666 5:-19.582909 6:-11.061792 7:-21.219269 8:-14.828697 9:-1.514616 10:-8.081366 11:-12.168996 12:-3.385755 13:-5.424815 14:-0.391811 15:2.127564 16:1.504389 17:2.308196 18:10.184004 19:8.837119 20:2.273138 21:6.118667 22:0.437144 23:1.388858 24:4.892607 25:5.582195 26:6.835015 27:10.892612 28:7.542896 29:4.706082 30:3.615568 31:1.975949 32:2.588724 33:2.236419 34:1.381050 35:3.887257 36:5.284402 37:3.687514 38:1.942306 39:-1.889786 40:-4.605874 
0 1:2197.193389 2:43.814035 3:54.620904 4:5.063151 5:10.001842 6:-19.747993 7:-14.660029 8:-18.416333 9:-15.297768 10:-8.659469 11:-13.144181 12:-7.523318 13:-7.126349 14:-8.692410 15:-4.931645 16:5.361604 17:2.351421 18:2.465256 19:8.150421 20:8.436476 21:12.095354 22:12.508805 23:3.646249 24:3.389092 25:3.915083 26:-0.531812 27:2.787428 28:4.999205 29:4.912596 30:-1.795922 31:2.788023 32:-6.476501 33:4.694945 34:-0.814589 35:5.895776 36:5.371444 37:4.181480 38:-0.845179 39:1.932380 40:1.522937 
